author	year	month	affiliation	commit count	lines added	lines removed	date
BerryJia	2003	4	Sun	1	14	3	2003-4-1
OPENSTEP	2002	4	unaffiliated	143	2590	1021	2002-4-1
OPENSTEP	2002	5	unaffiliated	18	410	152	2002-5-1
OPENSTEP	2002	6	unaffiliated	13	545	24	2002-6-1
OPENSTEP	2002	8	unaffiliated	192	3439	2922	2002-8-1
OPENSTEP	2002	9	unaffiliated	2	105	36	2002-9-1
OPENSTEP	2002	10	unaffiliated	1	3	3	2002-10-1
OPENSTEP	2002	11	unaffiliated	3	1073	87	2002-11-1
OPENSTEP	2002	12	unaffiliated	8	164	138	2002-12-1
OPENSTEP	2003	3	unaffiliated	1	23	7	2003-3-1
OPENSTEP	2003	4	unaffiliated	3124	120995	126300	2003-4-1
OPENSTEP	2003	5	unaffiliated	6	65	11	2003-5-1
ab	2000	9	Sun	5	441	43	2000-9-1
ab	2000	10	Sun	21	321	400	2000-10-1
ab	2000	11	Sun	33	1284	296	2000-11-1
ab	2000	12	Sun	18	346	319	2000-12-1
ab	2001	1	Sun	2	28	20	2001-1-1
ab	2001	2	Sun	23	285	71	2001-2-1
ab	2001	3	Sun	64	3211	1906	2001-3-1
ab	2001	4	Sun	26	875	558	2001-4-1
ab	2001	5	Sun	54	804	489	2001-5-1
ab	2001	6	Sun	37	3359	475	2001-6-1
ab	2001	7	Sun	24	259	232	2001-7-1
ab	2001	8	Sun	27	416	157	2001-8-1
ab	2001	9	Sun	29	526	158	2001-9-1
ab	2001	10	Sun	15	810	84	2001-10-1
ab	2001	11	Sun	46	1914	829	2001-11-1
ab	2001	12	Sun	26	505	193	2001-12-1
ab	2002	1	Sun	8	92	49	2002-1-1
ab	2002	4	Sun	13	197	112	2002-4-1
ab	2002	5	Sun	3	435	342	2002-5-1
ab	2002	6	Sun	4	152	26	2002-6-1
ab	2002	7	Sun	59	1004	2077	2002-7-1
ab	2002	8	Sun	34	695	283	2002-8-1
ab	2002	9	Sun	2	65	40	2002-9-1
ab	2002	10	Sun	28	1363	326	2002-10-1
ab	2002	11	Sun	32	623	425	2002-11-1
ab	2002	12	Sun	12	300	82	2002-12-1
ab	2003	1	Sun	15	118	161	2003-1-1
ab	2003	2	Sun	16	467	174	2003-2-1
ab	2003	3	Sun	11	216	82	2003-3-1
ab	2003	4	Sun	46	650	348	2003-4-1
ab	2003	5	Sun	7	78	37	2003-5-1
ab	2003	6	Sun	12	184	48	2003-6-1
ab	2003	7	Sun	1	3	4	2003-7-1
ab	2003	8	Sun	17	204	60	2003-8-1
ab	2003	9	Sun	23	507	140	2003-9-1
ab	2003	10	Sun	12	297	61	2003-10-1
ab	2003	11	Sun	10	159	50	2003-11-1
ab	2003	12	Sun	8	187	114	2003-12-1
ab	2004	1	Sun	90	4072	491	2004-1-1
ab	2004	2	Sun	9	160	122	2004-2-1
ab	2004	3	Sun	3	29	31	2004-3-1
ab	2004	4	Sun	3	50	11	2004-4-1
ab	2004	5	Sun	5	51	27	2004-5-1
ab	2004	6	Sun	3	13	11	2004-6-1
ab	2004	7	Sun	26	1474	752	2004-7-1
ab	2004	8	Sun	19	237	127	2004-8-1
ab	2004	9	Sun	53	1205	246	2004-9-1
ab	2004	10	Sun	70	2869	499	2004-10-1
ab	2004	11	Sun	26	455	501	2004-11-1
ab	2004	12	Sun	1	3	3	2004-12-1
ab	2005	1	Sun	28	859	176	2005-1-1
ab	2005	2	Sun	25	541	241	2005-2-1
ab	2005	3	Sun	23	4161	4037	2005-3-1
ab	2005	4	Sun	3	40	19	2005-4-1
ab	2005	5	Sun	6	143	54	2005-5-1
ab	2005	6	Sun	8	60	25	2005-6-1
ab	2005	7	Sun	6	54	31	2005-7-1
ab	2005	8	Sun	13	160	103	2005-8-1
ab	2005	9	Sun	15	805	46	2005-9-1
ab	2005	10	Sun	5	37	125	2005-10-1
ab	2005	11	Sun	60	377	460	2005-11-1
ab	2005	12	Sun	140	2781	1868	2005-12-1
ab	2006	1	Sun	9	125	75	2006-1-1
ab	2006	2	Sun	50	500	431	2006-2-1
ab	2006	3	Sun	2	25	31	2006-3-1
ab	2006	4	Sun	61	1251	716	2006-4-1
ab	2006	5	Sun	11	187	133	2006-5-1
ab	2006	6	Sun	1	7	3	2006-6-1
ab	2006	7	Sun	35	1393	244	2006-7-1
ab	2006	9	Sun	13	774	56	2006-9-1
ab	2006	10	Sun	13	204	176	2006-10-1
ab	2006	11	Sun	23	4240	593	2006-11-1
ab	2006	12	Sun	77	3336	792	2006-12-1
ab	2007	1	Sun	79	2424	770	2007-1-1
ab	2007	3	Sun	6	229	174	2007-3-1
ab	2007	4	Sun	1	6	5	2007-4-1
ab	2007	5	Sun	42	907	343	2007-5-1
ab	2007	6	Sun	27	710	222	2007-6-1
ab	2007	7	Sun	16	270	112	2007-7-1
ab	2007	8	Sun	2	11	6	2007-8-1
ab	2007	11	Sun	32	2545	497	2007-11-1
ab	2007	12	Sun	8	89	28	2007-12-1
ab	2008	1	Sun	16	380	309	2008-1-1
ab	2008	2	Sun	11	580	146	2008-2-1
ab	2008	4	Sun	11	88	60	2008-4-1
ab	2008	5	Sun	1	5	3	2008-5-1
abi	2000	9	Sun	5	125	31	2000-9-1
abi	2000	10	Sun	24	1148	556	2000-10-1
abi	2000	11	Sun	17	1380	626	2000-11-1
abi	2000	12	Sun	50	1809	1438	2000-12-1
abi	2001	1	Sun	8	290	134	2001-1-1
abi	2001	2	Sun	48	1117	683	2001-2-1
abi	2001	3	Sun	6	99	36	2001-3-1
abi	2001	4	Sun	6	151	44	2001-4-1
abi	2001	5	Sun	84	3138	1859	2001-5-1
abi	2001	6	Sun	117	4397	4222	2001-6-1
abi	2001	7	Sun	80	3444	2148	2001-7-1
abi	2001	8	Sun	20	1272	1132	2001-8-1
abi	2001	9	Sun	15	464	301	2001-9-1
abi	2001	10	Sun	25	1116	676	2001-10-1
abi	2001	11	Sun	49	1254	850	2001-11-1
abi	2001	12	Sun	7	195	81	2001-12-1
abi	2002	2	Sun	4	105	39	2002-2-1
abi	2002	3	Sun	3	23	10	2002-3-1
abi	2002	4	Sun	4	263	137	2002-4-1
abi	2002	5	Sun	6	184	32	2002-5-1
abi	2002	6	Sun	11	366	246	2002-6-1
abi	2002	7	Sun	11	610	187	2002-7-1
abi	2002	8	Sun	40	1247	575	2002-8-1
abi	2002	9	Sun	6	138	129	2002-9-1
abi	2002	10	Sun	79	3586	2164	2002-10-1
abi	2002	11	Sun	41	1630	358	2002-11-1
abi	2002	12	Sun	15	181	233	2002-12-1
abi	2003	1	Sun	12	375	161	2003-1-1
abi	2003	2	Sun	24	846	356	2003-2-1
abi	2003	3	Sun	40	777	413	2003-3-1
abi	2003	4	Sun	28	619	109	2003-4-1
abi	2003	5	Sun	18	1173	128	2003-5-1
abi	2003	6	Sun	1	4	4	2003-6-1
abi	2003	7	Sun	63	5080	1562	2003-7-1
abi	2003	10	Sun	14	2029	147	2003-10-1
abi	2003	11	Sun	33	1435	543	2003-11-1
abi	2003	12	Sun	4	141	172	2003-12-1
abi	2004	2	Sun	14	1201	238	2004-2-1
abi	2004	3	Sun	4	32	9	2004-3-1
abi	2004	4	Sun	12	3477	4	2004-4-1
abi	2004	5	Sun	12	1119	342	2004-5-1
abi	2004	6	Sun	10	1387	1377	2004-6-1
abi	2004	7	Sun	21	905	150	2004-7-1
abi	2004	8	Sun	46	1921	1279	2004-8-1
abi	2004	9	Sun	21	730	516	2004-9-1
abi	2004	10	Sun	19	16092	168	2004-10-1
abi	2004	11	Sun	7	130	115	2004-11-1
abi	2004	12	Sun	15	598	101	2004-12-1
abi	2005	1	Sun	36	3217	1356	2005-1-1
abi	2005	2	Sun	11	182	66	2005-2-1
abi	2005	3	Sun	36	2788	387	2005-3-1
abi	2005	4	Sun	1	6	9	2005-4-1
abi	2005	6	Sun	3	36	17	2005-6-1
abi	2005	8	Sun	11	148	69	2005-8-1
abi	2005	9	Sun	17	134	130	2005-9-1
abi	2005	10	Sun	4	38	19	2005-10-1
abi	2005	11	Sun	1	13	7	2005-11-1
abi	2006	1	Sun	5	269	21	2006-1-1
abi	2006	2	Sun	14	144	79	2006-2-1
abi	2006	3	Sun	5	26	17	2006-3-1
abi	2006	6	Sun	2	15	10	2006-6-1
abi	2006	9	Sun	3	15	12	2006-9-1
abi	2006	10	Sun	7	33	98	2006-10-1
abi	2006	12	Sun	3	54	10	2006-12-1
abutler	2002	8	(unknown)	4	96	95	2002-8-1
abutler	2002	9	(unknown)	2	62	37	2002-9-1
abutler	2003	1	(unknown)	13	1747	528	2003-1-1
abutler	2003	2	(unknown)	8	176	147	2003-2-1
abutler	2003	3	(unknown)	46	3626	286	2003-3-1
abutler	2003	4	(unknown)	38	2259	773	2003-4-1
abutler	2003	5	(unknown)	23	8315	111	2003-5-1
abutler	2003	6	(unknown)	4	14	11	2003-6-1
ace_dent	2006	9	unaffiliated	6	20	18	2006-9-1
ace_dent	2006	10	unaffiliated	461	1928	2206	2006-10-1
ace_dent	2006	11	unaffiliated	2	10	13	2006-11-1
ace_dent	2006	12	unaffiliated	8	18	11	2006-12-1
ace_dent	2007	6	unaffiliated	6	4036	4005	2007-6-1
ace_dent	2007	11	unaffiliated	1	5	5	2007-11-1
ace_dent	2008	3	unaffiliated	259	474	550	2008-3-1
af	2001	2	Sun	15	610	562	2001-2-1
af	2001	3	Sun	7	166	39	2001-3-1
af	2001	4	Sun	10	368	444	2001-4-1
af	2001	5	Sun	103	2067	1475	2001-5-1
af	2001	6	Sun	41	1988	398	2001-6-1
af	2001	7	Sun	13	299	171	2001-7-1
af	2001	8	Sun	13	866	118	2001-8-1
af	2001	10	Sun	118	3876	2533	2001-10-1
af	2001	11	Sun	1	4	2	2001-11-1
af	2001	12	Sun	25	277	551	2001-12-1
af	2002	1	Sun	6	43	31	2002-1-1
af	2002	2	Sun	37	317	221	2002-2-1
af	2002	3	Sun	84	3081	1443	2002-3-1
af	2002	4	Sun	180	4848	3564	2002-4-1
af	2002	5	Sun	116	2625	1792	2002-5-1
af	2002	6	Sun	77	1677	942	2002-6-1
af	2002	7	Sun	49	1369	812	2002-7-1
af	2002	8	Sun	36	1198	269	2002-8-1
af	2002	9	Sun	65	1356	2236	2002-9-1
af	2002	10	Sun	47	1754	707	2002-10-1
af	2002	11	Sun	66	1568	797	2002-11-1
af	2002	12	Sun	37	1858	829	2002-12-1
af	2003	1	Sun	24	508	241	2003-1-1
af	2003	2	Sun	30	612	371	2003-2-1
af	2003	3	Sun	190	8138	2530	2003-3-1
af	2003	4	Sun	150	4359	814	2003-4-1
af	2003	5	Sun	70	2028	523	2003-5-1
af	2003	6	Sun	68	1321	803	2003-6-1
af	2003	7	Sun	1	6	5	2003-7-1
af	2003	8	Sun	22	341	78	2003-8-1
af	2003	9	Sun	473	27729	10184	2003-9-1
af	2003	10	Sun	71	5692	976	2003-10-1
af	2003	11	Sun	45	1228	636	2003-11-1
af	2003	12	Sun	31	767	396	2003-12-1
af	2004	1	Sun	91	467	387	2004-1-1
af	2004	2	Sun	233	26541	2320	2004-2-1
af	2004	3	Sun	85	3590	687	2004-3-1
af	2004	4	Sun	121	3935	2813	2004-4-1
af	2004	5	Sun	296	11478	4268	2004-5-1
af	2004	6	Sun	497	13033	6217	2004-6-1
af	2004	7	Sun	287	8142	2806	2004-7-1
af	2004	8	Sun	97	2373	809	2004-8-1
af	2004	9	Sun	161	3685	1213	2004-9-1
af	2004	10	Sun	91	3399	2313	2004-10-1
af	2004	11	Sun	78	1283	817	2004-11-1
af	2004	12	Sun	97	1234	2149	2004-12-1
af	2005	1	Sun	50	993	631	2005-1-1
af	2005	2	Sun	126	4336	1505	2005-2-1
af	2005	3	Sun	105	4013	1160	2005-3-1
af	2005	4	Sun	69	1310	661	2005-4-1
af	2005	5	Sun	118	6430	1050	2005-5-1
af	2005	6	Sun	82	1750	1000	2005-6-1
af	2005	7	Sun	12	69	54	2005-7-1
af	2005	8	Sun	45	861	574	2005-8-1
af	2005	9	Sun	85	4623	1605	2005-9-1
af	2005	10	Sun	21	354	193	2005-10-1
af	2005	11	Sun	129	5399	3918	2005-11-1
af	2005	12	Sun	40	688	367	2005-12-1
af	2006	1	Sun	45	805	401	2006-1-1
af	2006	2	Sun	87	5500	2531	2006-2-1
af	2006	3	Sun	78	2433	1505	2006-3-1
af	2006	4	Sun	46	1202	559	2006-4-1
af	2006	5	Sun	22	1205	1077	2006-5-1
af	2006	7	Sun	15	133	85	2006-7-1
af	2006	8	Sun	249	17330	2290	2006-8-1
af	2006	9	Sun	197	6189	3767	2006-9-1
af	2006	10	Sun	56	1707	748	2006-10-1
af	2006	11	Sun	38	659	336	2006-11-1
af	2006	12	Sun	29	417	249	2006-12-1
af	2007	1	Sun	239	6456	2878	2007-1-1
af	2007	2	Sun	53	969	423	2007-2-1
af	2007	3	Sun	86	2282	2058	2007-3-1
af	2007	4	Sun	68	3287	1882	2007-4-1
af	2007	6	Sun	105	3909	1492	2007-6-1
af	2007	7	Sun	166	8435	1563	2007-7-1
af	2007	8	Sun	56	1407	478	2007-8-1
af	2007	9	Sun	65	2344	852	2007-9-1
af	2007	10	Sun	120	14105	1387	2007-10-1
af	2007	11	Sun	74	3211	786	2007-11-1
af	2007	12	Sun	88	4511	2694	2007-12-1
af	2008	1	Sun	151	8420	2344	2008-1-1
af	2008	2	Sun	153	12566	2755	2008-2-1
af	2008	3	Sun	28	283	137	2008-3-1
af	2008	4	Sun	186	14762	6216	2008-4-1
af	2008	5	Sun	23	262	290	2008-5-1
aidan	2002	3	unaffiliated	16	486	210	2002-3-1
aidan	2002	4	unaffiliated	11	799	789	2002-4-1
aidan	2002	5	unaffiliated	13	1186	989	2002-5-1
aidan	2002	6	unaffiliated	2	115	170	2002-6-1
aidan	2002	7	unaffiliated	8	298	236	2002-7-1
aidan	2002	8	unaffiliated	19	794	659	2002-8-1
aidan	2002	9	unaffiliated	8	345	193	2002-9-1
aidan	2002	10	unaffiliated	31	2331	2381	2002-10-1
aidan	2002	11	unaffiliated	5	180	188	2002-11-1
aidan	2002	12	unaffiliated	9	568	508	2002-12-1
aidan	2003	1	unaffiliated	8	1142	607	2003-1-1
aidan	2003	2	unaffiliated	3	85	65	2003-2-1
aidan	2003	3	unaffiliated	2	23	23	2003-3-1
aidan	2003	5	unaffiliated	3	1574	1354	2003-5-1
aidan	2003	6	unaffiliated	12	713	1143	2003-6-1
akhva	2007	6	Sun	4	0	546	2007-6-1
akhva	2007	10	Sun	10	1568	264	2007-10-1
akhva	2007	11	Sun	68	3267	2300	2007-11-1
akhva	2007	12	Sun	59	24365	2279	2007-12-1
akhva	2008	1	Sun	107	40348	78	2008-1-1
akhva	2008	3	Sun	34	1797	565	2008-3-1
akhva	2008	4	Sun	31	1272	291	2008-4-1
akhva	2008	5	Sun	9	506	414	2008-5-1
aklitzing	2006	8	unaffiliated	91	1979	1841	2006-8-1
aklitzing	2006	9	unaffiliated	24	723	509	2006-9-1
aklitzing	2006	11	unaffiliated	10	58	40	2006-11-1
aledoux	2002	9	(unknown)	9	123	71	2002-9-1
alehorst	2004	9	(unknown)	12	161	147	2004-9-1
ama	2000	9	Sun	24	679	217	2000-9-1
ama	2000	10	Sun	61	1041	349	2000-10-1
ama	2000	11	Sun	78	2032	994	2000-11-1
ama	2000	12	Sun	40	967	300	2000-12-1
ama	2001	1	Sun	13	219	141	2001-1-1
ama	2001	2	Sun	67	1936	1591	2001-2-1
ama	2001	3	Sun	129	2121	2409	2001-3-1
ama	2001	4	Sun	57	712	314	2001-4-1
ama	2001	5	Sun	30	449	439	2001-5-1
ama	2001	6	Sun	17	389	165	2001-6-1
ama	2001	7	Sun	46	931	377	2001-7-1
ama	2001	8	Sun	46	1137	326	2001-8-1
ama	2001	9	Sun	62	1623	602	2001-9-1
ama	2001	10	Sun	63	2585	672	2001-10-1
ama	2001	11	Sun	79	2689	634	2001-11-1
ama	2001	12	Sun	41	814	240	2001-12-1
ama	2002	1	Sun	31	1630	230	2002-1-1
ama	2002	2	Sun	28	521	346	2002-2-1
ama	2002	3	Sun	15	203	92	2002-3-1
ama	2002	4	Sun	26	513	467	2002-4-1
ama	2002	5	Sun	29	528	452	2002-5-1
ama	2002	6	Sun	30	312	718	2002-6-1
ama	2002	7	Sun	21	647	1130	2002-7-1
ama	2002	8	Sun	20	563	216	2002-8-1
ama	2002	9	Sun	22	224	96	2002-9-1
ama	2002	10	Sun	3	26	30	2002-10-1
ama	2002	11	Sun	1	11	6	2002-11-1
ama	2005	12	Sun	9	132	72	2005-12-1
ama	2006	1	Sun	9	98	58	2006-1-1
ama	2006	2	Sun	13	495	374	2006-2-1
ama	2006	3	Sun	24	807	238	2006-3-1
ama	2006	4	Sun	14	313	128	2006-4-1
ama	2006	5	Sun	28	712	144	2006-5-1
ama	2006	6	Sun	58	1299	451	2006-6-1
ama	2006	7	Sun	17	562	376	2006-7-1
ama	2006	8	Sun	21	322	142	2006-8-1
ama	2006	9	Sun	72	3403	1113	2006-9-1
ama	2006	10	Sun	56	1857	724	2006-10-1
ama	2006	11	Sun	40	1517	423	2006-11-1
ama	2006	12	Sun	39	868	338	2006-12-1
ama	2007	1	Sun	23	261	235	2007-1-1
ama	2007	2	Sun	26	1089	308	2007-2-1
ama	2007	3	Sun	260	3175	13753	2007-3-1
ama	2007	4	Sun	52	780	439	2007-4-1
ama	2007	5	Sun	28	681	137	2007-5-1
ama	2007	6	Sun	46	570	233	2007-6-1
ama	2007	7	Sun	40	407	258	2007-7-1
ama	2007	8	Sun	11	100	56	2007-8-1
ama	2007	9	Sun	8	55	35	2007-9-1
ama	2007	10	Sun	22	290	128	2007-10-1
ama	2007	11	Sun	59	829	510	2007-11-1
ama	2007	12	Sun	39	377	374	2007-12-1
ama	2008	1	Sun	51	284	451	2008-1-1
ama	2008	2	Sun	261	2258	2343	2008-2-1
ama	2008	3	Sun	37	383	214	2008-3-1
ama	2008	4	Sun	210	4033	4311	2008-4-1
ama	2008	5	Sun	40	432	285	2008-5-1
ama	2008	6	Sun	1	8	2	2008-6-1
antoxu	2006	9	Intel	21	1748	176	2006-9-1
arellano	2001	2	(unknown)	3	72	250	2001-2-1
arellano	2001	3	(unknown)	34	348	255	2001-3-1
arellano	2001	4	(unknown)	65	515	428	2001-4-1
arellano	2001	5	(unknown)	13	99	92	2001-5-1
arellano	2001	6	(unknown)	7	58	44	2001-6-1
arellano	2001	7	(unknown)	27	215	178	2001-7-1
armin	2000	10	Sun	6	24	18	2000-10-1
armin	2000	11	Sun	22	96	123	2000-11-1
armin	2000	12	Sun	164	673	584	2000-12-1
armin	2001	1	Sun	10	96	23	2001-1-1
armin	2001	2	Sun	196	1967	1285	2001-2-1
armin	2001	3	Sun	111	1095	636	2001-3-1
armin	2001	4	Sun	46	704	644	2001-4-1
armin	2001	5	Sun	21	521	542	2001-5-1
armin	2001	6	Sun	159	2518	1669	2001-6-1
armin	2001	7	Sun	27	236	160	2001-7-1
armin	2001	8	Sun	52	992	748	2001-8-1
armin	2001	9	Sun	15	84	88	2001-9-1
armin	2001	10	Sun	12	54	22	2001-10-1
armin	2001	11	Sun	45	4307	4266	2001-11-1
armin	2001	12	Sun	41	777	1675	2001-12-1
armin	2002	2	Sun	34	677	264	2002-2-1
armin	2002	3	Sun	20	97	52	2002-3-1
armin	2002	4	Sun	1	3	3	2002-4-1
armin	2002	5	Sun	1	1	1	2002-5-1
armin	2002	6	Sun	4	104	102	2002-6-1
armin	2002	7	Sun	62	1585	1461	2002-7-1
armin	2002	8	Sun	271	2595	1722	2002-8-1
armin	2002	9	Sun	19	407	125	2002-9-1
armin	2002	10	Sun	55	3958	5885	2002-10-1
armin	2002	11	Sun	32	108	144	2002-11-1
armin	2002	12	Sun	55	509	395	2002-12-1
armin	2003	1	Sun	10	62	16	2003-1-1
armin	2003	2	Sun	19	103	247	2003-2-1
armin	2003	3	Sun	57	414	572	2003-3-1
armin	2003	4	Sun	6	107	94	2003-4-1
armin	2003	6	Sun	5	9	9	2003-6-1
armin	2003	7	Sun	4	62	85	2003-7-1
armin.theissen	2000	9	Sun	4	17	20	2000-9-1
as	2000	9	Sun	7	128	156	2000-9-1
as	2000	10	Sun	79	1509	2328	2000-10-1
as	2000	11	Sun	189	8244	2713	2000-11-1
as	2000	12	Sun	74	3660	1026	2000-12-1
as	2001	1	Sun	41	8369	3937	2001-1-1
as	2001	2	Sun	67	12565	5687	2001-2-1
as	2001	3	Sun	125	4267	6420	2001-3-1
as	2001	4	Sun	64	35568	32997	2001-4-1
as	2001	5	Sun	116	22157	23882	2001-5-1
as	2001	6	Sun	118	10271	31833	2001-6-1
as	2001	7	Sun	137	18295	9975	2001-7-1
as	2001	8	Sun	90	8448	10633	2001-8-1
as	2001	9	Sun	7	281	202	2001-9-1
as	2001	10	Sun	47	3609	4036	2001-10-1
as	2001	11	Sun	53	1451	1675	2001-11-1
as	2001	12	Sun	42	1099	1127	2001-12-1
as	2002	1	Sun	1	5	3	2002-1-1
as	2002	2	Sun	2	4	2	2002-2-1
as	2002	3	Sun	5	110	31	2002-3-1
as	2002	4	Sun	31	689	409	2002-4-1
as	2002	5	Sun	120	4333	4755	2002-5-1
as	2002	6	Sun	132	7168	6591	2002-6-1
as	2002	7	Sun	81	6617	5826	2002-7-1
as	2002	8	Sun	94	4496	2862	2002-8-1
as	2002	9	Sun	156	3292	1595	2002-9-1
as	2002	10	Sun	29	714	298	2002-10-1
as	2002	11	Sun	158	7491	2687	2002-11-1
as	2002	12	Sun	185	11914	3135	2002-12-1
as	2003	1	Sun	83	3080	1366	2003-1-1
as	2003	2	Sun	86	5881	2900	2003-2-1
as	2003	3	Sun	127	10468	3399	2003-3-1
as	2003	4	Sun	46	1564	1073	2003-4-1
as	2003	5	Sun	38	2750	2332	2003-5-1
as	2003	7	Sun	20	963	361	2003-7-1
as	2003	8	Sun	173	20314	5701	2003-8-1
as	2003	9	Sun	94	5500	1925	2003-9-1
as	2003	10	Sun	669	9935	1928	2003-10-1
as	2003	11	Sun	229	6345	10600	2003-11-1
as	2003	12	Sun	34	1371	153	2003-12-1
as	2004	1	Sun	214	2689	724	2004-1-1
as	2004	2	Sun	27	444	262	2004-2-1
as	2004	3	Sun	722	7255	2482	2004-3-1
as	2004	4	Sun	22	511	441	2004-4-1
as	2004	5	Sun	525	3155	2131	2004-5-1
as	2004	6	Sun	175	11019	2934	2004-6-1
as	2004	7	Sun	150	9117	2587	2004-7-1
as	2004	8	Sun	41	2935	1096	2004-8-1
as	2004	9	Sun	65	3030	1195	2004-9-1
as	2004	10	Sun	97	4414	3121	2004-10-1
as	2004	11	Sun	76	1870	445	2004-11-1
as	2004	12	Sun	74	2551	1370	2004-12-1
as	2005	1	Sun	106	2766	1173	2005-1-1
as	2005	2	Sun	467	6394	4368	2005-2-1
as	2005	3	Sun	89	2284	444	2005-3-1
as	2005	4	Sun	69	905	524	2005-4-1
as	2005	5	Sun	9	247	151	2005-5-1
as	2005	6	Sun	16	1903	765	2005-6-1
as	2005	7	Sun	389	2666	842	2005-7-1
as	2005	8	Sun	9	539	552	2005-8-1
as	2005	9	Sun	56	4367	441	2005-9-1
as	2005	10	Sun	77	1319	580	2005-10-1
as	2005	11	Sun	15	778	541	2005-11-1
as	2005	12	Sun	20	657	457	2005-12-1
as	2006	1	Sun	35	947	476	2006-1-1
as	2006	2	Sun	18	268	544	2006-2-1
as	2006	3	Sun	37	881	588	2006-3-1
as	2006	4	Sun	37	1352	383	2006-4-1
as	2006	5	Sun	13	575	244	2006-5-1
as	2006	6	Sun	26	1514	1084	2006-6-1
as	2006	7	Sun	31	586	282	2006-7-1
as	2006	8	Sun	22	303	97	2006-8-1
as	2006	9	Sun	19	181	357	2006-9-1
as	2006	10	Sun	24	559	117	2006-10-1
as	2006	11	Sun	14	246	108	2006-11-1
as	2006	12	Sun	1	8	8	2006-12-1
as	2007	1	Sun	17	377	284	2007-1-1
as	2007	2	Sun	66	1410	727	2007-2-1
as	2007	3	Sun	46	1333	528	2007-3-1
as	2007	5	Sun	8	2523	1385	2007-5-1
as	2007	6	Sun	65	3187	2148	2007-6-1
as	2007	7	Sun	39	1014	254	2007-7-1
as	2007	8	Sun	42	4358	272	2007-8-1
as	2007	9	Sun	28	1769	1044	2007-9-1
as	2007	10	Sun	34	3308	286	2007-10-1
as	2007	11	Sun	4	253	317	2007-11-1
as	2007	12	Sun	9	515	496	2007-12-1
as	2008	1	Sun	34	725	647	2008-1-1
as	2008	2	Sun	7	578	21	2008-2-1
as	2008	3	Sun	39	6271	1853	2008-3-1
as	2008	4	Sun	25	254	196	2008-4-1
asaunders	2003	7	(unknown)	1	106	65	2003-7-1
asaunders	2003	9	(unknown)	10	3612	2257	2003-9-1
asaunders	2003	10	(unknown)	13	516	314	2003-10-1
asaunders	2004	1	(unknown)	11	3646	3300	2004-1-1
asaunders	2004	4	(unknown)	8	132	76	2004-4-1
avy	2001	2	(unknown)	13	50	41	2001-2-1
avy	2001	3	(unknown)	37	918	477	2001-3-1
avy	2001	4	(unknown)	3	10	10	2001-4-1
avy	2001	5	(unknown)	2	13	7	2001-5-1
avy	2001	8	(unknown)	51	31588	70	2001-8-1
aw	2000	9	Sun	16	181	104	2000-9-1
aw	2000	10	Sun	170	11672	6529	2000-10-1
aw	2000	11	Sun	121	5615	2637	2000-11-1
aw	2000	12	Sun	73	2275	1196	2000-12-1
aw	2001	1	Sun	102	2064	8345	2001-1-1
aw	2001	2	Sun	136	2121	1323	2001-2-1
aw	2001	3	Sun	28	764	248	2001-3-1
aw	2001	4	Sun	32	1139	207	2001-4-1
aw	2001	5	Sun	29	604	200	2001-5-1
aw	2001	6	Sun	26	1142	732	2001-6-1
aw	2001	7	Sun	62	1552	672	2001-7-1
aw	2001	8	Sun	59	1525	820	2001-8-1
aw	2001	9	Sun	19	284	96	2001-9-1
aw	2001	10	Sun	28	374	169	2001-10-1
aw	2001	11	Sun	16	356	78	2001-11-1
aw	2001	12	Sun	13	255	47	2001-12-1
aw	2002	1	Sun	19	446	245	2002-1-1
aw	2002	2	Sun	44	2201	809	2002-2-1
aw	2002	3	Sun	57	1827	302	2002-3-1
aw	2002	4	Sun	9	239	97	2002-4-1
aw	2002	5	Sun	34	766	469	2002-5-1
aw	2002	6	Sun	10	925	238	2002-6-1
aw	2002	7	Sun	38	689	238	2002-7-1
aw	2002	8	Sun	28	1271	606	2002-8-1
aw	2002	9	Sun	15	236	75	2002-9-1
aw	2002	10	Sun	23	770	544	2002-10-1
aw	2002	11	Sun	23	904	378	2002-11-1
aw	2002	12	Sun	24	1010	761	2002-12-1
aw	2003	1	Sun	19	599	135	2003-1-1
aw	2003	2	Sun	79	1713	1670	2003-2-1
aw	2003	3	Sun	46	1433	699	2003-3-1
aw	2003	4	Sun	67	1682	749	2003-4-1
aw	2003	5	Sun	210	9574	4460	2003-5-1
aw	2003	6	Sun	331	10339	3941	2003-6-1
aw	2003	7	Sun	371	30184	26286	2003-7-1
aw	2003	8	Sun	139	7798	2001	2003-8-1
aw	2003	9	Sun	26	553	583	2003-9-1
aw	2003	10	Sun	655	9189	5885	2003-10-1
aw	2003	11	Sun	496	25165	22521	2003-11-1
aw	2003	12	Sun	284	6377	4370	2003-12-1
aw	2004	1	Sun	17	193	50	2004-1-1
aw	2004	2	Sun	671	22703	13683	2004-2-1
aw	2004	4	Sun	257	4013	1527	2004-4-1
aw	2004	5	Sun	61	1463	835	2004-5-1
aw	2004	6	Sun	745	13701	15030	2004-6-1
aw	2004	7	Sun	3853	206641	199489	2004-7-1
aw	2004	8	Sun	246	4096	2817	2004-8-1
aw	2004	9	Sun	346	20598	19387	2004-9-1
aw	2004	10	Sun	296	7404	6623	2004-10-1
aw	2004	11	Sun	89	3240	910	2004-11-1
